body,x,y,z,Vx,Vy,Vz,mass
sun,-468011.8939560752,151780.1294432661,3952.954195720173,-0.0003258193001443824,-0.01163403846965114,6.354737340764048e-05,1.9891000000000002e+30
earth,-36209106.56702613,142827118.6319621,84067.47585965693,-29.38920525744982,-7.345573099493691,-0.005444482337278789,5.972e+24
jupiter,734795802.3261665,87840691.63974334,-16884627.72346421,-1.711422283114811,13.5908868673928,-0.01543342542497506,1.899e+27
saturn,-788974419.1384896,-1263326185.241596,53745887.43488777,7.651028076054176,-5.158164384727335,-0.2093564017990646,5.6829999999999994e+26
neptune,-2220007019.564721,3899151113.679588,-29159068.23402619,-4.754716801610394,-2.655526086305939,0.1641209267061915,1.024e+26
uranus,2433895390.693441,-1738527928.794036,-38340564.62517023,3.902943805166563,5.228885253884676,-0.03101448235216675,8.681e+25
venus,69120128.21808594,82818792.89512418,-2953785.972474832,-26.9028806765414,22.3892608125871,1.848706216094135,4.867e+24
mars,177073480.5966197,122824581.6756228,-1896509.838622235,-12.8069678982802,21.96787017289639,0.780194851663877,6.416e+23
mercury,-14939859.01721944,-68011941.50880611,-4204367.126107901,37.89234015499574,-7.597475903855772,-4.119460600822832,3.285e+23
