body,x,y,z,Vx,Vy,Vz,mass
sun,-1.354630417531006E+06,1.420546299731827E+04,3.143940434895225E+04,1.636302711538109E-03,-1.558286309774412E-02,8.961626340290262E-05,1.9891e30 
earth,-2.682456095823074E+07,1.448975704171931E+08,2.413001115289330E+04,2.981482351984199E+01,-5.295918918751036E+00,-5.493700746179719E-04,5.972e24
jupiter,7.224334600170468E+08,1.563793813033296E+08,-1.681154434344429E+07,-2.913214178134590E+00,1.338384166879859E+01,9.665521426341250E-03,1.899e27
saturn,1.217477085834203E+09,-8.235407623362080E+08,-3.415393344975621E+07,4.872766511120636E+00,7.982087638829929E+00,-3.327210645497218E-01,5.683e26
neptune,4.450807295340764E+09,-4.402241278807998E+08,-9.350777495288295E+07,4.993569179629754E-01,5.441397105331187E+00,-1.235787302584317E-01,1.024e26
uranus,1.998730572785467E+09,2.158272361448607E+09,-1.787799833905435E+07,-5.046219886831179E+00,4.309876668844167E+00,8.140382179132333E-02,8.681e25
venus,8.259475860642716E+07,-6.915816357711238E+07,-5.762291474659599E+06,2.204951699787050E+01,2.687806238064900E+01,-9.029101526708860E-01,4.867e24
mars,7.752583519268439E+06,2.337987557943932E+08,4.707746519684419E+06,-2.329168054360782E+01,2.985994216998675E+00,6.343688107030675E-01,6.416e23
mercury,1.764026173635770E+07,4.205586451549117E+07,1.724774348507849E+06,-5.413121416137490E+01,2.193301681426525E+01,6.759056609823457E+00,3.285e23
