position_sun,velocity_sun,position_earth,velocity_earth,position_jupiter,velocity_jupiter,position_saturn,velocity_saturn,position_neptune,velocity_neptune,position_uranus,velocity_uranus,position_venus,velocity_venus,position_mars,velocity_mars,position_mercury,velocity_mercury
"170926.9104602812,17637.37225269982,-11831.78294560749","0.009527731807234562,0.0002752137759416024,-0.0001686589369986946","5665974.536302843,147082982.4187559,51028.96392138302","-30.25858580861502,0.9996011795198599,-6.633934696120836e-05","-44485205.57939868,767595777.3609813,-2082051.140975356","-13.21041991883621,-0.142814968261217,0.2975011502556061","41391072.52364749,-1504117764.391899,25097314.21018696","9.12242154238176,0.2247142321477054,-0.3645571502923149","-1275476534.685368,-4347235805.434934,118874692.9923098","5.181057953263354,-1.500635755484399,-0.08845045273599039","-1716337642.801628,-2215777649.634097,14049092.05738187","5.330375088459942,-4.484578260012063,-0.08623094228376438","65470072.32874881,-87053330.92927338,-4935137.100978363","27.79052947613391,20.8870312676314,-1.333340014739402","206631680.5907327,38121075.0356798,-4374763.982125498","-3.42567826710237,25.87576837576115,0.6259174144948272","49226267.60755442,-33846258.20208981,-7296055.438123094","18.11149323694294,42.39513178081646,1.782302728292578"
"447583.6604791492,120649.0249027358,-17007.6248697895","0.007600303103584048,0.006050706906992614,-0.0001431938453344606","6605198.270518864,147152359.9931885,46231.02870747447","-30.23187250801227,1.141048186717719,-0.001030938240701107","-435764823.3505509,657193897.4522297,7155188.425938666","-11.051327717869,-6.61436157094764,0.2748404297575089","326390911.2714363,-1468012232.078433,13183380.58302402","8.895318822192026,2.056565565429438,-0.3878455176923807","-1111236071.775838,-4391457580.330814,116002972.1456232","5.234298120546757,-1.303764206591364,-0.09372689617254554","-1543281257.685595,-2350439623.567278,11288253.25015676","5.639232182250286,-4.052161103048035,-0.08868951280772897","-105999531.1419126,14795542.09824663,6335715.59601393","-4.964605773837458,-34.84527116680978,-0.1706094186955145","-240977175.9464832,-40272681.13163015,5170043.720659109","4.941050155548211,-21.83828129217096,-0.5795258820900635","44861276.22691654,21202513.79029091,-2397927.763395185","-30.35166489182156,46.2230210468291,6.565059764052936"
"617529.4228647186,372430.6971078883,-20189.67201976481","0.003177880629871384,0.00951713326793906,-5.750414839523002e-05","7453314.698344538,147385611.8582565,42089.89954863489","-30.24651088242823,1.296655455416268,-0.0007744863456992657","-713223541.8764901,373044532.9648935,14530238.29430398","-6.211217291433034,-10.97013853838298,0.1835725235746932","598759114.9712338,-1375076677.938972,758988.3174731731","8.321418455155131,3.818405304200268,-0.3964199586701527","-945417071.803816,-4429441318.966386,112966767.0068266","5.280989982572134,-1.105009594644391,-0.09886279912893448","-1361053769.030681,-2471146339.412726,8460392.274879456","5.911685246527926,-3.600064486348934,-0.09063629205286361","88498362.13458577,63489279.52257993,-4275651.913134791","-20.53548092474352,28.30301057161042,1.560451024435912","175062653.7408007,128015361.4897861,-1711497.992816061","-13.34664106686662,21.61586973945687,0.7845968599798994","-11820435.06355516,45412018.50446229,4795617.926134262","-56.71004741592562,-11.11448492352791,4.326479008727531"
"626103.2622136454,697511.3131475735,-19957.2639497678","-0.00257273686376196,0.01053630533018915,7.70465304067232e-05","8115753.29258757,147685924.1123954,42380.59467546642","-30.24691008713438,1.411071152727305,0.0004912799249939814","-814078622.4704298,-4235077.894773412,18309284.99656386","-0.08757959338773368,-12.45175400830679,0.05190168057808098","847758137.5626297,-1228475154.838024,-11694696.02238739","7.414403285522265,5.450616901059131,-0.3897502158702932","-778253979.4038347,-4461131601.675198,109769817.2135198","5.319481643771754,-0.9053198173492558,-0.1042039627651977","-1170819650.051617,-2577326910.246838,5582800.806300163","6.146750538676861,-3.131433278297873,-0.09194856836403265","-14902446.01520723,-106876253.2018521,-536468.6315486431","34.4195151738618,-5.133981253757045,-2.059439681809467","-207605982.8593441,-116640179.3572514,2730115.275201641","12.8269786223973,-19.04462202523732,-0.7183247020333505","-55377933.84707405,7245010.845189496,5680305.009227406","-15.76541448670779,-46.22693175799611,-2.311506236570221"
"457141.7775890628,1005793.678330891,-15656.45571169769","-0.00784037620931876,0.008666562454971903,0.0001977495459690253","8617629.733848194,147949985.6725618,45729.98647310585","-30.22674421521707,1.554644257880304,-0.001363800804528137","-719702724.7417154,-380630060.9068462,17697211.88764091","5.949806459863368,-10.93277005614024,-0.08989680797921817","1063194149.817567,-1033251990.542408,-23684641.57029104","6.196266008334378,6.893354928749643,-0.3675993123131631","-609985432.4716678,-4486479952.473951,106416674.7808883","5.350257461908403,-0.702837569222952,-0.1087892217581704","-973769227.4115859,-2668509865.843542,2672771.749225616","6.343721809798424,-2.649390869808335,-0.09259093450785782","-62406939.4865961,88043582.43792763,4767446.630531099","-28.51995786779595,-20.6893350173657,1.377709194205388","111677576.0756211,195569433.6052326,1270217.945219532","-20.09474625126755,14.07994306118094,0.7957662694462009","-50590284.77213363,-41195937.23142695,1256721.622205921","21.08924176534982,-35.2987285903998,-4.821939884719949"
"135329.115505304,1214672.882856813,-7533.561229573097","-0.01199487375679813,0.004153775828467007,0.0003072259776248929","8972483.037631037,148127139.2814957,53560.98109997064","-30.24606589382893,1.694460870654916,0.001075266745924286","-453052783.6844124,-665450772.9844916,12846775.90797889","10.63904336989005,-6.734173419669006,-0.2120345356145545","1235696940.067981,-796329844.811787,-34717219.32156551","4.697959239244512,8.086883703635584,-0.3299287627008898","-440849234.4131964,-4505445912.023343,102912368.9537988","5.374448862818739,-0.4998085970366779,-0.11344394676501","-771108785.3275522,-2744322212.746518,-252531.3130656481","6.502248980131778,-2.157063516756881,-0.0926615826518602","107162353.8975731,-17157202.16745569,-6442602.596137876","5.740253429443349,34.36099212084503,0.1195924944001021","-147221735.0879294,-177295242.3767006,-55444.70979371667","19.61361568832278,-13.36437454596045,-0.7690145978205605","-15776147.44275466,-66641960.296358,-4066451.573139243","37.65013117095983,-8.609734044864462,-4.175924032886352"
"-277686.4767220627,1254952.287154945,3152.084930438432","-0.01362925809317673,-0.001824096698803653,0.0003661123608050204","9216139.333600562,148126097.4393208,64533.295628272","-30.22982778933131,1.802458498536117,-0.000651675851782163","-75016836.16183236,-785030503.8948296,4831325.686337054","12.84078848380634,-0.6230678664121719,-0.2859970242603302","1357051917.913591,-526484519.7648779,-44311724.51253176","2.961891388637798,8.972871388048013,-0.2771543522193491","-271085876.9529218,-4517999613.903021,99261193.26831341","5.390201756524754,-0.2962135394638813,-0.1180926923521431","-564051137.4301317,-2804489294.812513,-3176227.426456571","6.622337861719088,-1.657616864648128,-0.09229548929971454","-87292284.28973755,-62806174.70817554,4195239.420114972","20.49982402963226,-28.37272326354798,-1.56010426376371","29615747.41070758,231701873.9188635,4069055.962006688","-23.09557076779748,5.153738297632447,0.6844051983891304","26790566.5825152,-58831157.40342712,-7388031.088863026","34.66117953381247,22.50481496446628,-1.365374618672011"
"-692521.3051384835,1090542.647989805,14525.99517903465","-0.01187250213455874,-0.00849427701744523,0.0003392216048139661","9489793.966271227,147917781.8842984,75059.8389994055","-30.20824164281075,1.950826595654139,0.0001152170445695155","321394419.6883714,-698269082.2686933,-4423546.14777419","11.69990136738995,6.080865270463821,-0.2873112039517236","1420591113.222351,-234264959.1212254,-52017254.63810189","1.043507208867799,9.49723255842996,-0.2105055761505263","-100937570.0980438,-4524118092.715303,95468600.90099049","5.398612876699108,-0.0911397010880674,-0.1221436351991456","-353808349.2074001,-2848835497.263953,-6081858.508142114","6.704187895449786,-1.15420460861994,-0.09153459617672932","18606713.56551419,107095180.2752897,293077.3321728632","-34.58751333893213,6.088256087810813,2.081347790038461","-65833134.25564733,-212310451.5484116,-2815599.765575811","24.10554390250553,-5.019082149493181,-0.706483321318343","52591405.67299408,-17469345.29218562,-6412648.496795226","6.546762730374796,48.24184036523173,3.325323868704466"
"-1001431.672741889,734975.273213941,24021.85170081304","-0.006987671255089077,-0.01377282350752792,0.0002455335927306051","9857999.31895338,147527622.2525637,85051.48320851475","-30.21512179832256,2.079035468771528,0.0006269396157139173","625614224.8467789,-414800880.5596887,-12394698.97973037","7.05420675394546,11.5063582059706,-0.2046082654550778","1421636043.480601,68178808.08136185,-57433012.54849318","-0.9872222954171478,9.613464130431089,-0.1319801646207011","69355091.84476165,-4523788441.626143,91540057.97116518","5.400111226783617,0.1129741291784804,-0.1265535597736488","-141586692.6467821,-2877281721.34902,-8953435.932911515","6.748083015357202,-0.6497842024580506,-0.09031196126765309","61603025.36736298,-88298102.29533413,-4770628.098144725","28.40330397561317,20.00644357797235,-1.380093329214703","-57031804.65207859,233820283.5585267,6290888.701483697","-22.61713659239715,-3.639099948615357,0.4889996873627398","30536014.66002561,35622085.24590427,-43577.14525656775","-45.77373377010831,34.7393909642053,7.052824503933349"
"-1110201.819160073,260108.7849411822,29146.03328408483","0.0004399983874307582,-0.01564943328266805,7.497772766297192e-05","10404120.67076661,146999416.6439523,89054.03402793407","-30.1798136897009,2.196348978594143,-0.0009136342659101793","740088718.5594062,-6958644.342980094,-16600754.71700057","-0.03619170229417294,13.6849372037437,-0.0539599352176392","1357962471.341812,367404126.8070704,-60231335.69437431","-3.045213901009631,9.287431687447292,-0.04435524498531418","239548561.2363019,-4517008250.037692,87480559.69614983","5.392721132490067,0.3172065470379155,-0.1307553505277921","71419772.53546496,-2889838810.473482,-11775455.64509892","6.754438700136052,-0.1470722003925422,-0.0885637791603841","-107027120.0350814,18270470.61926941,6394760.769709659","-6.055790953264847,-34.70061736677258,-0.1063146503140029","26302636.97353124,-213242047.1805243,-5114526.921504289","24.97374027981818,5.134245340827349,-0.515814233488868","-31327396.5869962,38546781.92752626,5935176.883749025","-48.06551753854006,-28.22531271339553,2.136131095745343"
"-979243.9849075151,-212650.8992132538,28522.66069204025","0.007942236830555083,-0.01360784563743232,-0.0001174973122509432","11211916.55281836,146476981.7965308,88415.23065087944","-30.16185134879919,2.357441762469409,0.000940641578721868","621838269.6688217,402714233.7676234,-15586257.27090517","-7.255677218126941,11.59140134315271,0.1165283075228833","1230245073.901717,649178995.0057756,-60183212.15426478","-5.031814549025826,8.505128682809037,0.04857474588446742","409399339.2692666,-4503781510.860021,83296389.62335205","5.378224994815031,0.5216914199723556,-0.1344969684542093","284036929.8082184,-2886601954.263383,-14532970.47346663","6.723867699113562,0.3513473364609034,-0.08632110858235442","88830284.76010607,60160009.0349454,-4372734.370101452","-19.63983850387431,28.89886772561787,1.517547563111989","-135689928.1972372,204734337.3989047,7671880.224596515","-19.29222511861293,-11.27852215896342,0.2464155686846845","-60048817.58378003,-9271793.832171934,4739408.3866742","-2.721977233063313,-46.0174910020252,-3.495615733521515"
"-643821.7533612777,-556483.8307212322,22361.0579027393","0.01291116240141126,-0.007855683536101714,-0.0002597317297426843","12206708.13659025,146088550.5888197,81790.729093045","-30.16129738519362,2.484007250723024,-0.001179372625366604","308154739.0569903,686602306.550582,-9678243.048258334","-12.07198912179405,5.977343603579992,0.2472194210251599","1042483564.900534,899219515.045129,-57191037.88593209","-6.835289740999481,7.278342454162235,0.1419398857676577","578665863.2714503,-4484122601.542712,78993278.85795999","5.356164465344601,0.7246297420480687,-0.1385009792934486","495117153.4382093,-2867747198.187998,-17211676.86408603","6.657244157902163,0.8429605189964386,-0.08366464251349823","-19467609.92190678,-107583557.423739,-298758.8803875819","34.26527737740113,-6.217250184350993,-2.063934862010592","114156671.051827,-175578898.4600511,-6498617.325355329","21.21865926966645,15.33798276261697,-0.2091278443348425","-43376416.6790055,-53481479.42792273,-346976.3107851036","28.05177273978817,-28.29390269933654,-4.890739621269395"
"-203671.565152422,-693121.556315892,12566.77303625143","0.01450366340738233,-0.0006646375955117891,-0.0003430652984594636","13313999.25373578,145883277.7151223,70965.26434401423","-30.1274784438022,2.619458235015485,0.0002343924180499002","-99333797.2550044,764801398.5238535,-838211.9958566427","-13.11033315044918,-1.05658714324482,0.298835553639313","802277721.241366,1104033983.58512,-51318406.37571639","-8.341139784569403,5.646367185788511,0.2303703396376919","747104705.5481195,-4458055171.791633,74576897.2336626","5.325185619690278,0.9275142995439892,-0.1419579222161506","703544420.1987656,-2833528376.35977,-19797981.84984875","6.555707688956849,1.32533685893889,-0.08062292120566855","-60298951.43579626,88289850.84991045,4662608.44501726","-29.12881572140383,-19.79495047438398,1.424998168225406","-197069085.6757226,150829627.8031161,8090002.503322147","-13.82293641764982,-17.15182764201109,-0.01320457442477085","-3189860.312072408,-69931571.57582164,-5352005.854171574","38.92404252006195,0.4478488019521203,-3.552790755586638"
"222645.5147239838,-608601.2770644914,1806.756230431376","0.01227024888894613,0.005690859855068954,-0.0003314706307408993","14419229.78771337,145910372.7189575,60926.27967669815","-30.12697320178425,2.782972923061683,-0.0002285100211980584","-480476826.8532664,628371790.7310011,8271651.962716281","-10.53298689572424,-7.314866451527915,0.2660222826657805","520678127.6278386,1251881865.641368,-42796911.58419818","-9.445755387475646,3.68177565553645,0.3085082618167383","914474767.0598695,-4425610038.838181,70054087.18799186","5.287710279919597,1.129538492400226,-0.1450368298079249","908238525.1109954,-2784273594.208118,-22279050.44041133","6.420561121321633,1.796172618908131,-0.07713755733114736","106646826.0784599,-22265147.27874967,-6441326.470199002","6.820242405004239,34.16483546984908,0.05603914501901031","179687585.9286435,-103017787.0440015,-6615450.704130813","12.97567143655352,23.10543414555309,0.1586111078636119","38130909.83148365,-51604494.54065706,-7648730.72010687","29.41350730750954,31.48583266749645,-0.1478137428105715"
"539538.2135860091,-349380.2637407043,-7625.870602861047","0.007589052134813567,0.01027908361295145,-0.0002528917258066993","15385306.21548321,146113066.0970745,50436.53150837123","-30.12605132608328,2.900309759866174,-0.0006995423195799155","-737325343.6453942,327351063.397121,15250420.99971382","-5.452747378016618,-11.32377610773144,0.1679835891324313","211692154.5910867,1333841326.048138,-32023500.76184905","-10.06654509547617,1.489360668083476,0.3715361760654866","1080536835.581034,-4386829601.57705,65430778.26602817","5.242347050602503,1.329373067188965,-0.148270061463979","1108158676.526795,-2720381146.478895,-24642838.02701843","6.253134727468483,2.253317705141562,-0.07314951583524298","-88403485.07822989,-61653962.90828855,4330265.638003949","19.63360326928905,-28.99289640337738,-1.518197468472243","-235176775.6049685,79728618.07063389,7546549.242192727","-6.850791349504765,-20.88005345673364,-0.2654629752782567","53694400.86761039,-2127077.232057625,-5055024.799627766","-7.76001665400089,50.92763401725845,4.863921329341469"
"685884.974806612,6421.204368386821,-13925.76219763452","0.001859044421762814,0.011850846271674,-0.0001464466139417973","16204580.67868012,146395184.7180733,44424.68941193074","-30.09711520145715,3.043760803586188,0.001030690089923292","-812900143.7933822,-54968445.27016385,18483562.00862655","0.7309267817603537,-12.41742925168117,0.03350678314853361","-108555410.621851,1344732781.829804,-19544480.26813346","-10.15361843102149,-0.8011462877350445,0.4154104137214661","1245050783.528352,-4341764602.100275,60713419.34333992","5.188883688610031,1.528286658083161,-0.15090110081664","1302306553.133646,-2642315024.997131,-26878108.04734433","6.054749887130766,2.694773635391407,-0.06870425394075641","23291559.09050895,105376238.093774,67591.00204462558","-34.35995357143877,7.184353684880376,2.082577891973591","208393389.4595304,-9115383.379464243,-5387119.518174453","2.021678922227682,26.2736067089959,0.4980260132020184","14905696.57062957,43730370.36597028,2236426.064698307","-56.06421027141095,16.97833272927096,6.553000516274803"
"645748.3756925904,370368.5120963308,-16311.18450949423","-0.004081080940314051,0.01065659408205972,-8.254288953617184e-06","16839931.08217048,146694215.8153967,41619.56701053679","-30.10605712685395,3.190927369029935,-0.0008564512244491063","-693999837.3528788,-424336999.3664428,17295767.00385001","6.661991750046854,-10.52849813499012,-0.1073868321801652","-422989288.7339188,1283704599.474104,-6020240.87921375","-9.698178561187516,-3.047863878830317,0.4372882608686939","1407780266.889912,-4290473601.905373,55909263.52445245","5.129437226728483,1.724885702285878,-0.1534193235232024","1489728845.834556,-2550600203.264021,-28974438.51760459","5.826803726583923,3.118680680447294,-0.06394599005008983","60492116.15254381,-90541945.82519905,-4677914.569085449","29.00985113836031,19.14418727696343,-1.426340667351446","-246120286.3201839,-411527.0941077685,6124484.236955574","1.005761479530275,-22.16591778004532,-0.4884368005418622","-43631265.68920057,27082266.61255912,6243389.061688241","-35.13473217751906,-39.60995077765342,0.0124072638973356"
"440745.5656587246,654530.645470081,-14855.59123165358","-0.008490088747984606,0.007038215397323474,0.000101383107670792","17288578.16017827,146901915.3609334,42318.60073851794","-30.09545944052126,3.298326186080266,0.001343334725177225","-408497421.1064649,-691427798.2142717,11954128.18045664","11.09510326196403,-6.028175366043496,-0.225080550959059","-714920139.8065397,1154359167.415764,7825081.580145955","-8.734147938166558,-5.112817907134789,0.436059485029517","1568490561.655687,-4233026307.142406,51024531.96540332","5.06167700069314,1.918479468807767,-0.1560859054299257","1669519319.719537,-2445817806.157568,-30922223.30725145","5.570849634021115,3.52331322879295,-0.05902229999895514","-104845124.7744054,21983392.66207507,6357921.925415795","-7.143503902722284,-34.47627638640477,-0.04200193761739079","195017236.4164624,86823927.54046823,-3069342.791613623","-8.86584329663369,24.21355396906115,0.7266681215025557","-57587507.29739653,-23410699.47597367,3376422.300842183","8.59279935961699,-42.8290189011812,-4.282814881486807"
"128306.407875597,790323.9984833647,-10403.671086182","-0.01058626782214673,0.001369617445176553,0.00016799006736839","17654206.99824678,146956783.1415442,47287.39343514293","-30.06565238335543,3.444670568769526,9.763554856379031e-05","-21837957.15312076,-785589237.7975754,3644799.205199063","12.90885553185362,0.2571535530954582,-0.2909816505067109","-969333898.5699629,964388569.9368277,21260970.05160731","-7.332961719222476,-6.876409108382516,0.4122479381653044","1726947631.423122,-4169499162.805929,46066432.86586976","4.98651428658032,2.110268714773894,-0.1581459372832307","1840820564.743118,-2328600191.607554,-32712678.17898262","5.288553150078476,3.907101627579084,-0.05398125996326408","91779365.91394913,58359451.58660331,-4553469.088301409","-18.74927822915356,29.50479679287222,1.473522446651918","-227842802.810596,-80648281.36193988,3975532.578193974","9.073227862802598,-20.76108634700279,-0.6601079809399142","-32251075.65484346,-60340218.62434161,-2004295.542282462","33.23217352431595,-20.39898128003131,-4.727505107185109"
"-201651.5540133262,740595.5743639291,-4779.694038226735","-0.009647328898541592,-0.004555011143963354,0.0001794326136164163","17994083.14615124,146843919.1452198,51587.67354942858","-30.0682932528774,3.574678600054802,0.0004500704033856273","369338106.0307057,-671080064.1808506,-5604959.520367026","11.29502817503884,6.922273844453461,-0.2815374885071691","-1173934453.585247,724799456.6764983,33605555.33610854","-5.593586596395789,-8.248736275925644,0.3680393518106819","1882922892.280397,-4099977118.315832,41042372.12518668","4.905000154707333,2.298656382653947,-0.1602411520130591","2002826024.762989,-2199626134.393109,-34337863.10517299","4.981600230690477,4.268647046177376,-0.048763115131226","-22302001.81397455,-105641319.7252006,-130145.9395852908","34.0392581166066,-7.272386097725463,-2.065589358977305","144795361.2683399,166375150.3911667,-161213.9589450508","-17.29052149083132,18.00162026967819,0.8073153852249275","9865437.642920045,-66791293.28353579,-6434718.951504692","38.41257411828481,9.728005703867884,-2.750221665895216"
"-445807.9479735113,517289.1903584448,-240.0847471213783","-0.005201769003349584,-0.009155931165521044,9.887027770013506e-05","18410349.9742687,146535706.8477021,56255.80945255607","-30.03628927233595,3.685674540962366,0.001335353435987674","653707387.1506771,-365461441.8513017,-13223745.15743536","6.225439133812376,12.02660280341246,-0.1882557335428494","-1319811044.717972,448886554.3731809,44270209.64610335","-3.629497191614981,-9.174562112504663,0.3068778782245971","2036189846.619575,-4024555895.291858,35958873.54197097","4.814871055921687,2.483607747669833,-0.1622881678326257","2154783114.48864,-2059617194.482262,-35790726.26634347","4.651687279193987,4.606655593911327,-0.04329138485031248","-57714997.9621,91354537.78865,4512276.278791193","-29.75052972729924,-18.88173093899234,1.471784481302973","-180454191.4839926,-151050190.1129886,1322743.454871856","16.53456754779277,-16.48719759944693,-0.7566340520571426","46123517.84258457,-38486668.58143152,-7472285.440495858","21.66161275624027,39.66538584464082,1.234280334093009"
"-517647.9423547779,194616.336926682,1085.805515783737","0.001091006245101071,-0.01074637581323085,-2.742777133959724e-05","19012594.53617905,146127538.4506902,56804.69998635352","-30.00371036158664,3.841656210832466,-0.0006004186897270447","738394475.2794913,50550799.66701976,-16800617.11687529","-1.039752243323423,13.65959048137769,-0.03156830092243634","-1401700586.65567,151138155.8887089,52789514.22218326","-1.556142200233952,-9.632518487282892,0.2328032817185091","2186524791.732456,-3943338034.303299,30823704.78434467","4.718224195028466,2.666097384450343,-0.1636006215904133","2295995901.907821,-1909336290.075118,-37065117.88300633","4.300529608746196,4.919858669945708,-0.03756547050405801","105204001.5982177,-24728472.04333594,-6444292.560419318","7.85739685361025,33.91797924604616,-0.006511180107484194","70112343.54403576,217421179.4285077,2777897.981823593","-22.09345609175624,9.524884313078145,0.7502101639107099","47313657.91390589,15323684.34992381,-3177074.518915022","-24.11804765218382,48.65623084907887,6.18904244683339"
"-384510.6500146062,-111233.0123833396,-1990.069727965034","0.007197510282475278,-0.00807342802825063,-0.0001608449288253437","19795899.07248234,145745462.767762,53412.59557291865","-30.00037820775963,3.968735828857796,0.001502304985848912","590494675.5785363,450406328.8371102,-15087496.94043937","-8.072414806959264,11.01623512726625,0.1370586420173647","-1417898090.822312,-153770079.9912643,58835623.51219397","0.518336375429537,-9.630981189218662,0.1502987418960662","2333709910.373483,-3856435805.485627,25644235.19273543","4.615096748116352,2.844219656303617,-0.1650216977163592","2425824362.950506,-1749585323.766321,-38155731.47966027","3.929876254085985,5.207086568906605,-0.03166669102383479","-91166164.20983486,-58602781.87749512,4477499.999126974","18.7276085977506,-29.61560729037192,-1.474261232097591","-107420985.8847349,-200538247.5548912,-1519724.964794442","22.31902470159288,-9.363598164603438,-0.7520417869169327","-5617686.239524572,45857243.16630649,4225732.578975059","-58.14965544084421,-3.697921041233475,5.062093603896208"
"-93469.06532776717,-286799.7050850821,-8776.388352388036","0.01095424617133758,-0.002641683812517779,-0.0002607634082049447","20752309.14081998,145472176.4205687,46801.6408918649","-29.95861571500271,4.098940025915214,-0.0004936555019754429","257829951.5965535,710272734.2638978,-8660653.86447078","-12.43268116850739,5.082763604337867,0.2588122400893824","-1369915621.516298,-451796966.296181,62219405.30487964","2.499440479264048,-9.201153584833241,0.0638493990053659","2477528944.119328,-3763970567.920035,20427360.13236022","4.504149303691909,3.018576880375033,-0.1661290261299123","2543682999.698702,-1581199777.632793,-39058068.99041283","3.541563958649166,5.467332206074324,-0.02567719230059606","25800021.82051181,104343219.9931426,-124774.1288533062","-34.10410941111859,8.23845471374658,2.082290606009659","-14772171.31205798,235587018.2528161,5284326.211750373","-23.22693862101542,0.5338351870806697,0.5903819812371557","-53798050.47167744,11992877.37665198,5943865.732163157","-20.93114396111078,-45.35311574741139,-1.764005834781504"
"255828.0315654933,-266199.4325918325,-17267.32000614551","0.0107860822096542,0.003804570939857419,-0.0002651849194371398","21780442.27939542,145399764.6639231,37372.73146185279","-29.94198107120214,4.26074488024735,0.0005343230802856702","-152786299.5374447,759367144.6289278,365176.8542076349","-12.95857619362269,-1.95866899910861,0.298992005498091","-1262001353.370256,-730137342.8015629,62882106.58933499","4.30864509162438,-8.389910679404627,-0.02240055922522943","2617770354.718826,-3666069357.297083,15181205.47615767","4.387803408579929,3.189557476633261,-0.1665504449734205","2649041691.252878,-1405043838.888476,-39768462.94920301","3.13746366429692,5.69972694886923,-0.01959770350733603","57290706.90624687,-92969261.92872262,-4541475.740094032","29.60084955418309,18.23332818981157,-1.471298342483045","-17578209.30897599,-218443769.3134067,-4130069.853288561","25.10415964280315,0.09566241703621747,-0.6239723718145738","-53235037.50724926,-37906673.53646812,1848283.795031447","18.06904175776564,-37.62829962747482,-4.731400372649791"
"551970.946536727,-54836.44133563749,-24978.85442383142","0.007623740962479236,0.009341438067076296,-0.0002052172534952037","22725547.96307528,145520417.0879103,30132.17221225053","-29.94172604724373,4.382394253463284,0.0008769206844623234","-522430924.7160638,597710810.5215275,9318527.72124213","-9.983800800498496,-7.982639442874046,0.2564212805566739","-1100611661.863773,-977614707.2414955,60881269.58000952","5.883613508389283,-7.253436142078202,-0.1048282620032808","2754229190.253271,-3562868910.234221,9913045.957495451","4.264996088569733,3.355040740949909,-0.1672887844091386","2741427334.078601,-1222007269.626364,-40284100.5630886","2.719381507067347,5.903516081404977,-0.01337722075966941","-103997362.362571,24573764.61469068,6348515.270320099","-8.200379925687656,-34.23902344865515,0.02207675780920226","-97649598.51222718,222045267.8216011,7062607.198936731","-21.20681961042864,-7.746622430078563,0.36662764997785","-20007425.73555848,-66629826.01257221,-3553498.292299628","36.77985095160359,-11.88718054046994,-4.360014463315615"
"706957.8982017487,293012.2767260576,-29640.34416968701","0.002228662567806229,0.01224208934096462,-8.774324380597578e-05","23543608.10163315,145762472.5528285,24589.4691368416","-29.90269146056201,4.520537506379254,-0.0001189213290588853","-757986423.9522262,281029936.4334431,15883624.62676212","-4.685341348298062,-11.63435153082927,0.1520434938784723","-893902194.6699805,-1184903581.513567,56374497.25676304","7.177712013345308,-5.852316905908,-0.1805996146500095","2886703073.568623,-3454513833.174733,4630214.767832041","4.135209510993032,3.51629240234839,-0.1675445887113283","2820425134.568359,-1033002895.614738,-40603027.35835093","2.289064509386469,6.07803476376128,-0.007022507535693556","94110346.21062969,55006703.00197745,-4709827.524390651","-17.8099941470706,30.07777412452491,1.427627546251436","74819862.82874714,-198166292.925025,-6023445.309417054","23.64221454559386,10.55672214959815,-0.3690358403534661","23354798.20635647,-62395433.78467067,-7225446.299398914","36.06758555219986,19.07865350745946,-1.771911459700044"
"676411.0107731399,693171.9408727058,-30001.67222736689","-0.004078204838025288,0.01253688256131304,6.965061745911692e-05","24176914.18511889,146070275.6247612,23891.17926052213","-29.9009980403867,4.670031764686975,0.001921347874292323","-808167939.7669935,-104968752.6121645,18563875.37408002","1.54161950430948,-12.33691419570428,0.01507292214415124","-651274109.3272005,-1344627367.44252,49603039.56573182","8.157677410078126,-4.2486483709596,-0.2474564682107581","3014996686.992359,-3341154913.348619,-658982.5109555721","4.000349855608877,3.672823552328169,-0.1674274460786556","2885679447.390845,-838964090.5645491,-40724136.88764834","1.848295138767535,6.222684740266957,-0.0006408180829620136","-24682606.80240452,-104939970.928883,40376.88146547973","33.80902462610933,-8.308729502986564,-2.065926273113902","-168704159.1679417,180756625.0904808,7954095.893761337","-16.71037380754026,-14.53973409967729,0.1124354032406556","52850750.03352527,-23791799.55303524,-6835482.362521068","11.18581671636317,46.37075793653871,2.745565499634374"
"454556.9300588521,1053154.99515536,-25565.09661484876","-0.009627664222143012,0.009882851217632674,0.0002093237743848939","24607236.19960933,146322643.15733,27801.7352636978","-29.8917513491531,4.780269212421539,7.465052279087558e-05","-665201335.8984678,-465883504.7140856,16805178.78688118","7.351238692559432,-10.07846286876633,-0.1244380729639438","-382987966.6568328,-1451376138.883823,40876641.99192828","8.801680195440834,-2.504235970595965,-0.3035748334551664","3138921052.775847,-3222952779.811549,-5947369.556320667","3.858826699953727,3.822989496869415,-0.1677162453073482","2936894277.983389,-640842162.5237929,-40647156.04296318","1.39896546684249,6.336927213247237,0.005641149147527447","-53936401.95211452,93655507.0337189,4345602.781008638","-30.32691639304938,-17.92214379224657,1.516825484500143","152365171.4067805,-140266820.5886405,-6764463.19142665","17.4363379438008,19.80853070620438,-0.02098218716188427","37394881.58757818,31260651.46377407,-970093.6107817795","-40.41748401410511,39.86007852176462,6.972731551661591"
